code,name
O9G5U,Bradford College
M6F1B,Jacob's Well
CWSC01,93 St James Street
P0Y8F,The Pharmacy Group - Chapeltown
DSM001,Didsbury Street
C4Y2X,Etihad Mass Vaccination Centre
O2A4C,St. John's Shopping Centre
F8C0J,Belle Vue Sports Village
FSCP01,Friday Street
RX37E,Askham Bar Vaccination Centre
FBKP8,"Raphaels House, Victoria Hospital"
FA716,Late Night Pharmacy Woolwich
H0MOU,Redbridge Town Hall
M9X1G,Junction Pharmacy
D3F7M,Queens (Rosendale road)
B1J6G,Evergreen Surgery
X5NOG,Crystal Palace Football Stadium
AES001,Arsenal Emirates stadium
NONODS654,Finsbury Park Mosque
C3F4O,Finsbury Park
H9Z1D,Alban Arena
HHH001,Hemel Hempstead Hospital
NONODS382,Roche Pharmaceuticals
NONODS381,Robertson House (PZ)
NONODS380,Robertson House (AZ)
J4C5P,Carlton House Surgery
NONODS378,Former Argos Store
G6F4V,Alderley Park
X5F0A,The Octagon Centre
R2Y8T,Kingston Centre
A9T0I,Casa Hotel
C3N0X,Darnall Primary Care Centre
E7S5S,Copes Pharmacy
C4U1D,City Hospital - Cardiac Rehab Gym
R8T9R,Tipton Sports Academy Vaccination Centre
W3T2L,M W Phillips Vaccination Centre
W6M0O,Saddlers Vaccination Centre
J0N7H,Jaysons Pharmacy
N6K1M,Kings Meadow Campus
RTG09,Queens Medical Centre
E3F1A,Gamston Community Centre
E2E8U,Forest Recreation Ground
G3F9T,Bath & West Showground
B3X1S,Taunton Racecourse
J4N9Z,Waitrose Sports Hall
B1W3P,Birch Hill Medical Centre
C0A9J,Bath Halls
G8K7C,Lincolnshire Showground
W4T5V,Hertfordshire Community NHS Trust
D5G7Q,North Lonsdale Road
X9J7O,Dalton Square
L2Y4S,Willows Pharmacy
I3C0Q,Aqua Pharmacy Ipswich
B8B2P,Princess Royal Sports Arena
C8G2O,Lincolnshire Showground
F8D2H,Newark Showground
J5A7F,Richard Herrod Leisure Centre
A8O5F,Ashfield Health Village
RHAGX,Kings Mill Hospital
I8D5V,Mansfield Wickes Site
